Leeftijd,Gewicht,Brandstof,Aantal zitplaatsen,Aantal wielen,Aantal deuren,Voertuigsoort
4,14716,Diesel,55,6,2,Bus
13,910,Geen,0,2,0,Aanhangwagen
10,222,Benzine,2,2,0,Motorfiets
4,11475,Diesel,44,4,2,Bus
7,179,Benzine,2,2,0,Motorfiets
1,10295,Elektriciteit,29,6,3,Bus
13,12290,Diesel,59,4,2,Bus
9,15900,Diesel,54,8,2,Bus
11,13501,Diesel,55,4,3,Bus
13,197,Benzine,2,2,0,Motorfiets
5,1132,Benzine,5,4,5,Personenauto
17,1250,Benzine,5,4,2,Personenauto
11,470,Geen,0,2,0,Aanhangwagen
13,205,Benzine,2,2,0,Motorfiets
30,1277,Geen,0,2,0,Aanhangwagen
22,920,Geen,0,2,0,Aanhangwagen
21,1295,Benzine,5,4,4,Personenauto
18,186,Benzine,2,2,0,Motorfiets
12,234,Benzine,2,2,0,Motorfiets
30,440,Geen,0,2,0,Aanhangwagen
35,660,Geen,0,2,0,Aanhangwagen
3,203,Benzine,2,2,0,Motorfiets
15,15410,Diesel,59,6,3,Bus
2,13307,Diesel,52,6,2,Bus
1,13650,Elektriciteit,44,6,4,Bus
31,510,Geen,0,2,0,Aanhangwagen
15,238,Benzine,2,2,0,Motorfiets
5,11321,Diesel,33,4,2,Bus
11,13540,Diesel,51,4,2,Bus
7,12400,Diesel,48,4,2,Bus
4,13785,Elektriciteit,30,6,2,Bus
9,9000,Diesel,39,4,4,Bus
49,2418,LPG,6,4,2,Personenauto
21,240,Geen,0,2,0,Aanhangwagen
7,245,Benzine,2,2,0,Motorfiets
2,5040,Diesel,30,4,2,Bus
19,180,Benzine,2,2,0,Motorfiets
15,486,Geen,0,2,0,Aanhangwagen
15,326,Benzine,2,2,0,Motorfiets
33,420,Geen,0,2,0,Aanhangwagen
14,206,Benzine,2,2,0,Motorfiets
8,9000,Diesel,33,4,3,Bus
8,172,Benzine,2,2,0,Motorfiets
23,116,Benzine,2,2,0,Motorfiets
12,12550,CNG,32,4,2,Bus
1,13100,Elektriciteit,44,6,3,Bus
13,1153,Benzine,5,4,4,Personenauto
14,8783,Diesel,9,4,3,Bus
18,580,Geen,0,2,0,Aanhangwagen
4,14486,Diesel,39,6,3,Bus
39,579,Geen,0,2,0,Aanhangwagen
12,214,Benzine,2,2,0,Motorfiets
9,11796,Diesel,41,4,3,Bus
3,9500,Elektriciteit,24,6,3,Bus
4,13665,Diesel,57,6,2,Bus
5,1275,Benzine,5,4,5,Personenauto
4,14716,Diesel,55,6,2,Bus
2,210,Benzine,2,2,0,Motorfiets
14,216,Benzine,2,2,0,Motorfiets
11,13160,Diesel,52,6,4,Bus
13,14951,Diesel,35,4,2,Bus
3,1148,Benzine,5,4,4,Personenauto
22,1310,Benzine,5,4,4,Personenauto
2,102,Benzine,1,2,0,Motorfiets
10,1410,Benzine,5,4,4,Personenauto
20,830,Geen,0,2,0,Aanhangwagen
1,249,Benzine,1,2,0,Motorfiets
5,228,Benzine,2,2,0,Motorfiets
11,196,Benzine,2,2,0,Motorfiets
11,1129,Benzine,5,4,2,Personenauto
15,195,Benzine,2,2,0,Motorfiets
9,1262,Diesel,5,4,4,Personenauto
2,13665,Diesel,55,6,2,Bus
2,13665,Diesel,55,6,2,Bus
15,1400,Geen,0,2,0,Aanhangwagen
5,249,Benzine,2,2,0,Motorfiets
2,180,Benzine,2,2,0,Motorfiets
17,1080,Geen,0,2,0,Aanhangwagen
9,225,Benzine,2,2,0,Motorfiets
17,262,Benzine,2,2,0,Motorfiets
15,690,Geen,0,2,0,Aanhangwagen
11,242,Benzine,2,2,0,Motorfiets
5,1180,Benzine,5,4,5,Personenauto
2,12940,Elektriciteit,36,6,4,Bus
12,965,Benzine,5,4,4,Personenauto
9,950,Benzine,5,4,4,Personenauto
16,2033,Diesel,7,4,4,Personenauto
5,1051,Diesel,5,4,5,Personenauto
16,995,Geen,0,2,0,Aanhangwagen
19,870,Geen,0,2,0,Aanhangwagen
4,15366,Diesel,65,6,2,Bus
7,19200,Diesel,89,6,2,Bus
13,138,Benzine,2,2,0,Motorfiets
2,12940,Elektriciteit,36,4,2,Bus
8,242,Benzine,2,2,0,Motorfiets
12,3320,Diesel,20,4,4,Bus
3,261,Benzine,2,2,0,Motorfiets
10,243,Benzine,2,2,0,Motorfiets
1,815,Benzine,4,4,4,Personenauto
23,780,Geen,0,2,0,Aanhangwagen
15,190,Benzine,2,2,0,Motorfiets
17,193,Benzine,2,2,0,Motorfiets
3,13160,Elektriciteit,30,6,3,Bus
18,895,Benzine,4,4,4,Personenauto
13,219,Benzine,2,2,0,Motorfiets
11,580,Geen,0,4,0,Aanhangwagen
24,940,Geen,0,2,0,Aanhangwagen
7,1515,Benzine,5,4,4,Personenauto
13,995,Benzine,5,4,4,Personenauto
4,9150,Diesel,43,6,4,Bus
8,1340,Benzine,5,4,4,Personenauto
2,1379,Benzine,5,4,4,Personenauto
14,16080,Diesel,63,6,3,Bus
15,203,Benzine,2,2,0,Motorfiets
4,14486,Diesel,39,6,2,Bus
16,290,Benzine,2,2,0,Motorfiets
7,2083,Diesel,5,4,5,Personenauto
5,231,Benzine,2,2,0,Motorfiets
0,1063,Benzine,5,4,5,Personenauto
9,8945,Diesel,41,4,2,Bus
13,113,Benzine,1,2,0,Motorfiets
9,9000,Diesel,39,4,4,Bus
3,282,Benzine,2,2,0,Motorfiets
12,213,Benzine,2,2,0,Motorfiets
9,108,Benzine,1,2,0,Motorfiets
0,189,Benzine,2,2,0,Motorfiets
13,355,Benzine,2,2,0,Motorfiets
